Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"16272 ARH 295 I1","Art in Orlando","2","M Ryan","","MTWRF","10:00","1 :30P","LECTURE"
"16210 ART 295 I1","Ceramic Sculpture","2","A Hope","CFAC 101","MTWRF","09:00","1 :00P","LECTURE"
"16215 INT 195 I1","Orange is the New Black","2","A McClure","CSS 134 CSS 134 CSS 134","MR TW F","09:00","12:00P 09:00","LECTURE"
"16226 INT 195 I2","The Plots of PIXAR","2","M Forsythe","BUSH 228 BUSH 228","MTWRF MTWRF","10:00","12:00P 12:30","LECTURE"
"16268 INT 195 I3","Body Count: Serial Killers C&M","2","A Zimmermann","","MTWR F MTWR","10:00","12:30P 10:00","LECTURE"
"16211 INT 295 I01","Field Ornithology","2","I Biazzo","BEAL 1","MTWRF","08:00","1 :00P","LECTURE"
"16212 INT 295 I02","Business Scandals","2","D Caban","FAIRBK 107","MTWRF","09:00","12:30P","LECTURE"
"16213 INT 295 I03","Dev Your Emotional Intelligenc","2","T Loch","KWR 320","MTWRF","09:00","1 :00P","LECTURE"
"16214 INT 295 I04","Life Launch","2","J Mathews","WAR 201","MTWRF","09:00","12:30P","LECTURE"
"16217 INT 295 I05","Apartheid in Movies","2","C Strom","CSS 230","MTWRF","1 :30","5 :00P","LECTURE"
"16249 INT 295 I06","Immigratin Rights Immersion_CE","2","V Teske A Davis","BUSH 308 BUSH 308 BUSH 308","W MTF R","07:00","8 :00P 09:00","LECTURE"
"16248 INT 295 I07","Adventures in Tourism","2","S Brown","CSS 135 CSS 135","MTWRF MTWR","09:00","12:00P 1 :00","LECTURE"
"16262 INT 295 I08","Job Market Boot Camp","2","T French","KMC 1","MTWRF","09:00","12:30P","LECTURE"
"16263 INT 295 I09","Managing Your Money","2","R Lewin","FAIRBK 116","MTWRF","09:30","12:50P","LECTURE"
"16264 INT 295 I10","Introduction to Cheese","2","B Pilat","KWR 310 KWR 310 KWR 310","MTWR F MTWR","10:45","12:30P 10:45","LECTURE"
"16265 INT 295 I11","Congress in the Movies","2","P Rickert","CSS 232","MTWRF","12:00","4 :00P","LECTURE"
"16218 PSY 295 I1","Psychology of Haunted Houses","2","P Harris","BUSH 176","MTWRF","12:00","4 :00P","LECTURE"
"16219 THE 195 I1","Digital Rendering w/ Procreate","2","A Crutchfield","TIEDTK 101 TIEDTK 101","MTWRF MTWRF","10:00","12:00P 12:30","LECTURE"
"15459 ASJ 305 1","Soc Justice Theory/Practice","4","N Richter","","TR","2 :00","3 :15P","LECTURE"
"16052 AAAS 101 1","Intro African/Afr-Am Studies","4","D Ponton","","TR","08:00","09:15A","LECTURE"
"16200 AMST 200 1","Am Studies: American Crime","4","J Jones","","MW","1 :00","2 :15P","LECTURE"
